pid,skill_name,endorsement
45,Demand Planning,16
45,Strategic Sourcing,7
45,Succession Planning,1
46,Software Development,0
46,Agile Methodologies,0
46,HTML,0
46,Front-end Development,0
46,JavaScript,0
46,Cascading Style Sheets (CSS),0
46,MySQL,0
46,Backbone.js,0
46,JavaScript Libraries,0
47,Project Management,28
47,Agile Methodologies,18
47,Video Games,15
47,User Experience,13
47,Software Development,12
47,Software Engineering,12
47,Quality Assurance,9
47,Product Development,5
47,Mobile Applications,4
47,Scrum,3
47,Competitive Analysis,2
47,XML,3
47,JavaScript,3
47,SaaS,2
47,Android,1
47,Management,9
47,Leadership,9
52,Video Production,5
52,Social Media Marketing,0
52,Analytics,0
52,Videography,1
52,Video Editing,5
52,Marketing,0
52,Digital Marketing,0
52,Marketing Strategy,0
52,Cinematography,1
52,HD Video,1
52,Market Analysis,0
52,Video,4
52,Film,1
52,Music Videos,1
52,Graphic Design,0
52,Editing,0
52,Post Production,0
52,Film Production,0
52,Photography,0
52,Commercials,0
52,Screenwriting,0
52,Motion Graphics,0
52,Feature Films,0
52,Project Management,1
52,Social Media,0
52,Strategic Planning,0
52,Facebook Marketing,0
52,Video Post-Production,0
52,Web Design,0
52,Web Development,0
52,Web Services,0
52,Final Cut Pro,3
52,Adobe Creative Suite,0
52,Camera,1
52,Photoshop,0
52,Flash,0
52,Instagram,0
52,Facebook,0
52,Final Cut Studio,0
52,Public Speaking,0
52,Customer Service,0
52,Leadership,0
52,Management,0
52,Training,0
52,Team Leadership,0
52,Team Building,0
52,DVD Studio Pro,2
52,Directing,1
52,Producing,1
53,JavaScript,2
53,Web Development,0
53,Linux,2
53,Web Applications,1
53,User Experience,0
53,Java,1
53,Android,0
53,Unix,0
53,CSS,0
53,Databases,0
53,HTML,1
54,User Experience,58
54,User-centered Design,53
54,Usability Testing,36
54,Information Architecture,32
54,Usability,25
54,Interaction Design,20
54,Human Computer Interaction,18
54,User Interface,16
54,User Experience Design,15
54,Wireframes,9
54,User Interface Design,7
54,Agile Methodologies,5
54,Mobile Devices,2
54,Experience Design,2
54,Wireframing,1
54,Mobile Applications,0
54,Enterprise Software,7
54,Design Thinking,2
54,Cross-functional Team Leadership,1
54,User Research,17
54,Heuristic Evaluation,17
54,Usability Engineering,7
54,Accessibility,5
54,Persona,4
54,Contextual Inquiry,3
54,Task Analysis,3
54,User Scenarios,1
54,Mobile Design,1
54,Card Sorting,1
54,Wire Framing,6
56,Research,14
56,Data Analysis,12
